CustomerID,ActivityDate,ServiceUsed,UsageAmount,SessionDuration
CUST00736,2021-04-28,ATM,5911.72,1.5
CUST07749,2021-08-19,ATM,2417.53,56.73
CUST07337,2021-12-31,Branch Visit,8174.95,46.01
CUST03005,2021-04-22,Branch Visit,4826.37,14.27
CUST07198,2021-08-31,Mobile App,7489.5,59.31
CUST02481,2021-11-02,Website,8308.46,39.05
CUST08644,2021-03-18,ATM,9400.75,24.01
CUST06995,2021-11-27,Mobile App,9126.42,10.56
CUST08415,2021-02-11,ATM,4290.55,46.22
CUST07544,2021-03-04,Branch Visit,2083.95,51.04
CUST05610,2021-11-24,Website,5717.49,34.02
CUST03953,2021-09-13,Mobile App,1392.41,37.11
CUST03331,2021-01-14,Website,6998.04,21.64
CUST06610,2021-10-13,Mobile App,3918.14,55.63
CUST07803,2021-09-11,ATM,4812.43,17.9
CUST09122,2021-11-08,ATM,1674.39,17.13
CUST07333,2021-09-06,Branch Visit,3881.18,25.66
CUST01557,2021-09-25,Website,6303.9,44.6
CUST09252,2021-06-15,ATM,4529.79,59.49
CUST07306,2021-12-23,Branch Visit,5931.74,34.46
CUST06880,2021-03-13,ATM,143.53,5.86
CUST00591,2021-04-29,Mobile App,9550.04,30.12
CUST06732,2021-07-20,ATM,2174.49,39.71
CUST05976,2021-01-16,Website,8190.46,4.94
CUST04412,2021-09-09,Branch Visit,4278.62,47.65
CUST06530,2021-08-05,Mobile App,740.94,19.15
CUST06830,2021-05-01,Website,8243.03,47.52
CUST04655,2021-05-25,Mobile App,1248.64,3.11
CUST02224,2021-04-03,Mobile App,7372.17,36.7
CUST09817,2021-10-26,Mobile App,4495.42,43.58
CUST02404,2021-08-08,Mobile App,2048.58,26.7
CUST09118,2021-10-17,Website,9458.55,3.15
CUST09963,2021-11-15,Mobile App,753.92,55.28
CUST04534,2021-03-08,Mobile App,6221.51,24.7
CUST02879,2021-09-12,Mobile App,8120.69,36.51
CUST07394,2021-07-31,Mobile App,4145.58,6.41
CUST05548,2021-08-12,Mobile App,1086.61,46.52
CUST05164,2021-03-01,Website,5976.08,48.15
CUST04468,2021-10-08,Mobile App,6606.27,35.98
CUST02782,2021-04-05,Website,5262.46,13.1
CUST05004,2021-05-01,Mobile App,9487.85,46.06
CUST06611,2021-09-17,ATM,3503.75,32.66
CUST09502,2021-06-30,Mobile App,4325.79,4.99
CUST01732,2021-10-06,Mobile App,2077.11,44.22
CUST00175,2021-11-08,Branch Visit,305.53,37.74
CUST08813,2021-11-17,Website,7510.19,43.52
CUST03486,2021-10-26,Mobile App,3468.82,53.75
CUST07372,2021-08-18,Branch Visit,3031.99,58.42
CUST09969,2021-07-23,Website,296.23,7.85
CUST02331,2021-10-07,Mobile App,5750.24,33.46
CUST03821,2021-08-04,ATM,2302.67,25.57
CUST02148,2021-01-01,ATM,7065.47,41.97
CUST07281,2021-07-12,Mobile App,4658.77,4.06
CUST08962,2021-08-05,Mobile App,5714.62,27.4
CUST09791,2021-12-08,Branch Visit,2297.14,48.85
CUST05147,2021-02-19,Website,1456.92,50.74
CUST01542,2021-04-06,Website,5202.27,59.4
CUST09925,2021-02-23,Mobile App,1410.28,7.01
CUST01055,2021-04-17,Website,1312.27,11.21
CUST05594,2021-12-12,Website,3748.22,7.76
CUST09719,2021-04-10,Website,9000.08,25.64
CUST03300,2021-05-01,Website,4906.25,13.03
CUST06546,2021-10-02,ATM,7745.3,12.19
CUST05625,2021-12-23,Website,7623.03,47.55
CUST07985,2021-09-18,Branch Visit,1162.22,46.98
CUST03006,2021-09-26,Website,6507.52,57.08
CUST03844,2021-11-03,Branch Visit,1363.92,36.76
CUST00987,2021-03-18,Website,1627.16,26.44
CUST01587,2021-06-23,Branch Visit,5948.79,25.36
CUST03697,2021-08-31,Website,6855.62,2.93
CUST03589,2021-05-01,Mobile App,9654.06,56.14
CUST07229,2021-09-18,Mobile App,3915.79,15.93
CUST00594,2021-12-24,Mobile App,9458.81,42.17
CUST03140,2021-01-18,Branch Visit,8209.79,37.9
CUST05886,2021-08-27,Mobile App,7369.01,18.65
CUST06427,2021-01-06,Mobile App,122.64,10.67
CUST03713,2021-02-12,Branch Visit,9815.44,18.33
CUST05191,2021-05-21,Website,3340.27,36.95
CUST07673,2021-06-03,ATM,8521.32,8.2
CUST08165,2021-04-27,Branch Visit,1312.5,49.84
CUST04511,2021-11-15,Mobile App,1029.62,35.26
CUST07673,2021-11-02,Website,5127.46,6.73
CUST06304,2021-04-29,ATM,297.02,7.46
CUST04973,2021-04-05,Website,2222.43,12.28
CUST09898,2021-11-03,Branch Visit,1436.43,24.85
CUST08424,2021-06-27,Branch Visit,3157.29,39.01
CUST07169,2021-05-23,ATM,5790.7,9.44
CUST05713,2021-04-13,Website,3874.86,36.17
CUST04056,2021-08-19,ATM,3761.3,24.39
CUST00844,2021-03-18,Website,2955.4,25.32
CUST08516,2021-12-21,Branch Visit,8622.35,48.11
CUST00781,2021-03-06,Website,2832.84,21.0
CUST03595,2021-04-16,Website,6343.4,45.65
CUST01584,2021-04-11,Branch Visit,4025.47,10.18
CUST01442,2021-01-19,Branch Visit,4671.9,22.94
CUST04749,2021-03-02,Branch Visit,7643.17,47.41
CUST03839,2021-02-12,Branch Visit,2049.34,36.07
CUST03806,2021-07-01,ATM,3850.67,56.44
CUST00154,2021-08-31,Branch Visit,7515.74,14.51
CUST01614,2021-12-12,ATM,2127.32,20.07
CUST09627,2021-09-20,Mobile App,2985.54,49.62
CUST07884,2021-11-13,Website,6573.18,27.01
CUST09781,2021-04-30,Website,4072.59,2.48
CUST05775,2021-02-07,ATM,6434.78,22.06
CUST09684,2021-09-06,Website,2967.93,37.82
CUST08334,2021-09-25,Branch Visit,1989.68,57.74
CUST03061,2021-02-12,Mobile App,7113.47,45.76
CUST02107,2021-02-18,Branch Visit,1509.02,42.25
CUST09269,2021-07-01,ATM,9935.59,4.03
CUST07112,2021-09-20,Branch Visit,5536.84,15.98
CUST02785,2021-04-09,Branch Visit,5365.38,1.98
CUST05757,2021-07-29,Branch Visit,4115.73,54.55
CUST02825,2021-01-11,Mobile App,7111.41,22.49
CUST05615,2021-03-05,Branch Visit,5764.19,54.56
CUST03225,2021-09-27,Website,468.67,16.97
CUST07089,2021-01-19,Branch Visit,7516.97,53.88
CUST02364,2021-02-06,Branch Visit,9853.51,7.66
CUST03845,2021-07-10,Website,4868.84,9.98
CUST03081,2021-11-08,ATM,1634.12,51.55
CUST05621,2021-01-23,Website,9693.07,23.58
CUST02314,2021-07-09,ATM,7729.94,14.84
CUST00037,2021-06-09,ATM,8984.15,28.92
CUST09137,2021-06-10,Website,3769.0,10.75
CUST05856,2021-06-18,Mobile App,4495.5,34.97
CUST08212,2021-04-28,Mobile App,9522.41,11.02
CUST07429,2021-07-11,Website,9148.93,8.94
CUST06459,2021-05-04,Branch Visit,5841.89,56.65
CUST01042,2021-02-12,Website,3741.03,42.3
CUST04032,2021-12-25,Website,3533.35,33.61
CUST06952,2021-07-01,ATM,6805.5,57.46
CUST07205,2021-02-20,Branch Visit,8836.32,19.69
CUST09888,2021-12-26,Website,7129.21,6.17
CUST01953,2021-10-11,Branch Visit,9410.86,24.9
CUST06959,2021-07-13,Website,937.32,16.12
CUST08087,2021-03-10,Website,7265.62,41.88
CUST04252,2021-05-31,Website,5092.17,17.26
CUST05302,2021-05-04,Branch Visit,9764.03,6.86
CUST06466,2021-02-05,Mobile App,2147.14,38.04
CUST05228,2021-03-02,Website,5624.58,46.7
CUST05299,2021-10-10,Website,3483.21,54.61
CUST08610,2021-04-04,Branch Visit,6055.02,47.1
CUST02096,2021-03-19,Website,8833.35,27.5
CUST09582,2021-04-09,Website,8845.81,42.98
CUST08080,2021-01-22,Mobile App,4132.15,52.1
CUST04532,2021-01-01,Website,6221.87,33.89
CUST05610,2021-06-03,Branch Visit,1816.51,56.81
CUST06435,2021-10-07,Mobile App,629.84,49.37
CUST05337,2021-05-13,ATM,768.7,19.15
CUST08076,2021-01-04,Mobile App,4938.66,3.18
CUST05469,2021-04-05,ATM,7435.11,38.15
CUST09527,2021-08-24,Website,5155.45,34.94
CUST01203,2021-11-11,ATM,4767.06,17.1
CUST07594,2021-07-07,Branch Visit,5995.85,20.05
CUST03270,2021-10-08,Mobile App,9631.52,15.37
CUST02940,2021-12-22,Mobile App,4035.97,33.94
CUST01755,2021-05-02,Website,3231.89,9.88
CUST02268,2021-10-26,Branch Visit,4143.11,43.08
CUST04870,2021-03-21,ATM,8429.42,3.64
CUST09803,2021-06-07,Mobile App,3463.15,56.97
CUST09024,2021-03-01,ATM,8608.92,44.64
CUST05869,2021-02-16,Branch Visit,6127.14,25.86
CUST02665,2021-11-12,ATM,5162.38,44.18
CUST07321,2021-07-25,ATM,9839.68,29.94
CUST02258,2021-10-24,ATM,158.04,18.05
CUST06668,2021-05-12,Website,3461.38,12.87
CUST07903,2021-07-09,Website,6402.14,44.05
CUST00118,2021-01-28,Mobile App,4929.24,40.24
CUST06322,2021-03-06,Branch Visit,7531.94,37.54
CUST06490,2021-11-23,Website,7902.38,11.85
CUST05867,2021-05-22,Website,4133.04,48.61
CUST04411,2021-04-12,Mobile App,458.37,33.64
CUST01545,2021-08-06,Website,1599.29,44.76
CUST05439,2021-09-11,Website,3073.94,27.49
CUST08239,2021-03-23,Mobile App,389.5,6.43
CUST01882,2021-07-15,Mobile App,3830.37,19.8
CUST01802,2021-02-14,Website,7658.47,22.7
CUST03067,2021-08-31,Branch Visit,4961.28,8.4
CUST00155,2021-04-16,Website,2885.95,11.89
CUST04962,2021-11-24,Branch Visit,908.52,39.93
CUST09208,2021-01-18,Branch Visit,6692.09,7.78
CUST05477,2021-09-18,Branch Visit,4073.08,14.85
CUST06398,2021-04-20,ATM,6157.06,38.07
CUST01457,2021-02-23,ATM,2194.42,38.57
CUST03990,2021-08-27,Website,2296.25,5.24
CUST00965,2021-05-16,ATM,6963.68,59.48
CUST02034,2021-11-13,Mobile App,1766.09,59.03
CUST03264,2021-01-18,Branch Visit,7280.06,43.25
CUST06933,2021-09-25,ATM,5642.74,26.49
CUST00489,2021-11-07,Mobile App,9143.32,16.15
CUST05503,2021-11-12,Branch Visit,521.86,35.63
CUST04454,2021-08-11,ATM,6887.08,1.76
CUST04550,2021-12-07,Branch Visit,9647.09,22.71
CUST02593,2021-08-18,ATM,8563.49,32.8
CUST02727,2021-12-26,Mobile App,2253.89,46.85
CUST04998,2021-06-29,Website,5240.33,4.03
CUST00038,2021-03-06,Mobile App,8782.6,26.82
CUST09366,2021-03-21,Mobile App,4973.02,20.91
CUST04507,2021-02-21,ATM,2813.28,12.68
CUST07129,2021-08-03,Website,3126.6,12.17
CUST02022,2021-03-26,Website,1118.63,16.94
CUST09314,2021-08-12,Branch Visit,3248.1,17.64
CUST00579,2021-06-12,Branch Visit,5451.42,47.38
CUST05162,2021-01-26,Website,3763.53,55.83
CUST06584,2021-10-02,Mobile App,1714.24,2.69
CUST07573,2021-06-06,Branch Visit,2276.68,9.13
CUST01207,2021-03-25,ATM,1485.52,10.63
CUST09376,2021-04-15,ATM,6796.4,56.52
CUST05458,2021-11-12,ATM,8441.67,9.61
CUST01431,2021-09-20,Mobile App,8213.96,41.4
CUST02081,2021-01-08,Branch Visit,158.53,42.6
CUST02761,2021-10-11,ATM,5708.67,35.91
CUST04454,2021-06-23,Mobile App,5180.94,5.24
CUST02932,2021-03-05,Mobile App,4623.18,33.81
CUST09925,2021-09-29,Website,6665.97,36.14
CUST03353,2021-06-15,ATM,2654.16,4.28
CUST03088,2021-03-23,Mobile App,4057.96,46.5
CUST05557,2021-04-17,Mobile App,6763.55,48.05
CUST07958,2021-07-11,Website,8159.16,19.09
CUST06932,2021-05-20,Website,754.47,4.84
CUST01367,2021-10-22,Branch Visit,1804.17,23.88
CUST08636,2021-02-05,Mobile App,7389.82,45.79
CUST06075,2021-01-14,ATM,1703.0,50.56
CUST08319,2021-07-17,Mobile App,8520.46,47.06
CUST02542,2021-07-25,Mobile App,6883.06,22.08
CUST00614,2021-09-10,Branch Visit,767.42,54.67
CUST00679,2021-06-25,ATM,8164.76,36.43
CUST03456,2021-01-04,Mobile App,7788.89,37.55
CUST05880,2021-10-06,Branch Visit,971.58,47.26
CUST09003,2021-06-02,Branch Visit,9384.83,42.29
CUST03068,2021-02-08,Mobile App,7223.76,37.42
CUST08326,2021-08-11,Website,5921.68,47.69
CUST00560,2021-06-22,ATM,9349.07,43.88
CUST04827,2021-05-14,Branch Visit,6224.31,9.1
CUST04063,2021-08-08,Branch Visit,2249.68,49.77
CUST00891,2021-07-25,Website,2614.49,12.59
CUST03217,2021-12-16,Branch Visit,2430.18,19.26
CUST03670,2021-09-27,Mobile App,1675.84,16.45
CUST09133,2021-09-08,Mobile App,7832.6,54.87
CUST06497,2021-05-26,Mobile App,8847.05,45.07
CUST01652,2021-11-06,ATM,3992.79,14.81
CUST07084,2021-09-05,Website,8625.97,40.93
CUST01030,2021-09-05,Mobile App,3651.52,38.52
CUST02802,2021-04-14,Branch Visit,1266.89,20.42
CUST04076,2021-01-02,Branch Visit,5595.16,40.62
CUST05061,2021-06-03,Website,7135.89,19.04
CUST09612,2021-09-02,Website,9269.16,41.4
CUST08846,2021-04-30,Website,4406.01,33.23
CUST02489,2021-02-01,ATM,8018.94,44.0
CUST08293,2021-05-31,Branch Visit,2758.4,7.22
CUST09017,2021-01-07,Website,9120.33,25.82
CUST09943,2021-09-18,Mobile App,7585.19,36.24
CUST02096,2021-02-10,Website,1017.36,43.5
CUST08030,2021-06-22,Mobile App,1087.27,42.77
CUST07339,2021-01-19,Mobile App,137.63,32.66
CUST00734,2021-02-17,Mobile App,898.23,25.88
CUST06929,2021-04-29,Mobile App,9486.26,8.64
CUST06760,2021-11-19,Mobile App,219.24,57.08
CUST00235,2021-02-07,Website,9461.23,33.34
CUST02915,2021-10-21,ATM,4694.66,32.06
CUST05281,2021-05-01,ATM,655.17,42.77
CUST09055,2021-02-16,Website,6160.65,57.17
CUST07064,2021-04-10,Website,6501.51,2.66
CUST04853,2021-03-27,Website,7554.53,58.39
CUST07298,2021-01-31,ATM,1354.7,15.59
CUST02525,2021-09-18,Website,2707.72,35.39
CUST02563,2021-12-31,Website,1419.35,12.69
CUST08001,2021-04-14,Mobile App,2985.94,14.59
CUST05031,2021-11-03,Website,4176.09,22.1
CUST08827,2021-11-03,Website,5145.19,17.3
CUST04810,2021-08-25,Website,1095.0,13.43
CUST07615,2021-09-06,Mobile App,9685.73,37.03
CUST03030,2021-05-20,Branch Visit,953.67,8.86
CUST06274,2021-03-05,Website,2923.17,23.65
CUST00780,2021-04-12,Mobile App,1515.3,14.4
CUST08433,2021-08-15,ATM,4340.44,47.55
CUST03274,2021-02-21,Branch Visit,6195.75,10.07
CUST08205,2021-06-14,ATM,3020.59,43.02
CUST00605,2021-07-23,Branch Visit,7202.65,14.77
CUST09743,2021-12-30,Website,5512.21,50.64
CUST00468,2021-01-31,Mobile App,4693.76,15.3
CUST07737,2021-06-10,ATM,7029.39,4.01
CUST04594,2021-12-28,ATM,4565.7,13.83
CUST08926,2021-10-21,Website,2923.21,26.14
CUST05535,2021-06-21,Mobile App,3325.87,1.12
CUST06963,2021-02-24,Mobile App,4902.9,27.12
CUST01143,2021-07-05,Mobile App,7111.57,18.59
CUST09374,2021-05-23,Branch Visit,4920.92,13.71
CUST01288,2021-01-13,ATM,7984.44,52.91
CUST06199,2021-05-18,Website,2138.89,22.48
CUST05374,2021-08-19,Branch Visit,9707.32,47.96
CUST00309,2021-09-21,Branch Visit,8482.88,44.64
CUST04286,2021-11-19,Website,939.55,32.11
CUST00169,2021-01-03,Branch Visit,4496.86,27.6
CUST08132,2021-11-19,Website,4549.48,48.18
CUST02703,2021-03-14,Website,5294.19,35.81
CUST05682,2021-11-09,Mobile App,304.01,32.49
CUST05919,2021-12-23,Website,4264.26,11.17
CUST02264,2021-01-30,Branch Visit,9896.49,39.1
CUST01113,2021-04-05,Mobile App,7560.11,29.06
CUST02571,2021-04-07,ATM,6082.78,20.66
CUST05995,2021-09-11,Mobile App,9217.44,55.1
CUST06741,2021-12-15,Branch Visit,8698.96,14.91
CUST04736,2021-06-18,Branch Visit,9906.92,28.73
CUST02937,2021-04-30,Mobile App,5544.8,6.22
CUST02939,2021-01-01,Website,5942.61,7.43
CUST05489,2021-06-14,Branch Visit,7712.53,16.22
CUST09021,2021-05-04,Branch Visit,4565.78,57.98
CUST05282,2021-10-14,ATM,3028.13,36.0
CUST08157,2021-10-13,Website,8126.42,7.05
CUST02385,2021-08-04,Website,4305.5,24.45
CUST06954,2021-02-14,Branch Visit,9262.12,10.35
CUST08961,2021-10-21,Website,6108.51,15.19
CUST06467,2021-11-27,ATM,9989.75,15.68
CUST04393,2021-03-20,Mobile App,103.63,41.73
CUST09094,2021-04-25,Mobile App,3805.93,5.2
CUST04153,2021-06-29,Branch Visit,5522.57,13.63
CUST03724,2021-02-11,ATM,3796.55,6.43
CUST04326,2021-01-04,Branch Visit,9566.81,39.48
CUST02865,2021-09-26,Website,3114.8,41.46
CUST08284,2021-05-22,Branch Visit,6095.63,3.12
CUST04669,2021-01-17,ATM,2951.72,11.32
CUST09094,2021-02-08,Mobile App,339.46,15.18
CUST01964,2021-08-03,Mobile App,5779.76,25.87
CUST08175,2021-04-07,Website,9326.59,40.02
CUST00473,2021-03-15,Mobile App,5453.89,28.25
CUST01284,2021-03-12,ATM,8134.17,58.27
CUST07321,2021-10-20,Mobile App,8345.25,30.81
CUST04485,2021-03-25,Branch Visit,9341.85,47.2
CUST01130,2021-08-13,ATM,6982.24,24.35
CUST03074,2021-01-26,ATM,6965.49,40.48
CUST05961,2021-09-07,Mobile App,1753.53,21.04
CUST01280,2021-07-07,Branch Visit,4236.08,51.57
CUST05188,2021-07-20,Branch Visit,1059.71,39.99
CUST03591,2021-04-05,Website,777.96,41.74
CUST01608,2021-11-05,ATM,1401.43,50.52
CUST02491,2021-10-16,Mobile App,3666.13,17.92
CUST04781,2021-12-15,ATM,8280.61,49.24
CUST02581,2021-12-30,ATM,3712.56,4.96
CUST01599,2021-02-01,Branch Visit,799.78,46.1
CUST09176,2021-01-27,Branch Visit,4398.2,21.56
CUST01287,2021-11-12,Mobile App,9837.25,16.68
CUST05153,2021-05-10,ATM,1636.46,59.59
CUST08056,2021-07-21,Branch Visit,6797.5,3.55
CUST09309,2021-06-15,Branch Visit,3706.42,35.77
CUST04168,2021-05-02,Mobile App,9545.53,46.98
CUST05904,2021-06-06,Mobile App,4000.4,11.39
CUST00601,2021-10-01,Mobile App,6677.73,51.47
CUST05693,2021-04-15,Mobile App,7832.2,59.61
CUST07389,2021-04-12,Branch Visit,4595.16,4.47
CUST01142,2021-05-13,Branch Visit,9418.87,56.77
CUST03065,2021-05-09,Mobile App,3663.06,39.48
CUST01183,2021-06-07,ATM,7498.9,22.73
CUST09316,2021-01-12,Branch Visit,8452.66,45.18
CUST05717,2021-05-11,ATM,5615.58,55.1
CUST03446,2021-02-10,Branch Visit,7378.15,9.13
CUST06696,2021-05-01,Mobile App,1014.54,52.59
CUST01015,2021-05-30,Branch Visit,7343.29,29.72
CUST01470,2021-08-28,Website,3198.36,52.0
CUST04821,2021-08-31,Branch Visit,1656.59,4.07
CUST09179,2021-04-29,Website,2440.29,35.92
CUST03236,2021-05-17,Branch Visit,3327.07,20.76
CUST09568,2021-03-15,ATM,6506.15,26.73
CUST02059,2021-03-21,Branch Visit,9280.11,18.19
CUST03283,2021-05-10,Mobile App,5115.49,27.02
CUST01771,2021-11-21,Branch Visit,206.89,46.22
CUST01522,2021-09-11,ATM,3375.28,36.5
CUST04266,2021-01-10,Mobile App,4890.15,20.67
CUST07138,2021-01-04,Branch Visit,9672.37,36.32
CUST02432,2021-12-16,Branch Visit,6749.08,50.45
CUST09199,2021-08-18,Website,4965.67,33.09
CUST03072,2021-06-07,ATM,3973.68,28.36
CUST03011,2021-08-01,Website,2634.12,26.05
CUST06224,2021-04-04,ATM,1756.14,22.45
CUST06915,2021-04-04,Branch Visit,3608.52,27.22
CUST06594,2021-11-02,Branch Visit,816.93,8.79
CUST06575,2021-04-30,Mobile App,6179.28,1.56
CUST03965,2021-11-11,ATM,7553.3,39.44
CUST00677,2021-06-17,ATM,9820.95,25.09
CUST00501,2021-12-15,Website,954.48,42.35
CUST07445,2021-08-26,Mobile App,9651.32,56.52
CUST09329,2021-11-27,Mobile App,9978.56,13.99
CUST00280,2021-11-24,Website,7197.75,26.06
CUST09312,2021-09-12,ATM,1450.89,24.98
CUST01678,2021-06-02,Branch Visit,7013.87,20.34
CUST09206,2021-02-24,Website,5327.08,45.36
CUST03822,2021-07-18,ATM,1370.38,7.34
CUST03436,2021-02-18,Branch Visit,427.06,25.56
CUST01885,2021-02-25,Branch Visit,2976.14,18.81
CUST05579,2021-12-20,Mobile App,3263.94,37.68
CUST02453,2021-06-14,ATM,2536.33,20.82
CUST06544,2021-04-23,Branch Visit,1186.1,22.83
CUST09786,2021-12-03,ATM,7383.96,40.07
CUST02192,2021-02-16,Branch Visit,9891.99,32.58
CUST04695,2021-10-16,Website,1394.31,46.37
CUST02107,2021-08-14,Branch Visit,281.08,49.03
CUST09561,2021-06-19,Branch Visit,4015.9,6.42
CUST01184,2021-07-29,ATM,3577.68,49.84
CUST05729,2021-03-02,Branch Visit,3556.43,11.84
CUST08912,2021-02-28,Branch Visit,6719.53,2.74
CUST03230,2021-10-26,Website,4977.63,47.15
CUST01956,2021-08-10,Mobile App,4661.13,33.59
CUST01860,2021-08-14,Website,659.8,3.32
CUST00272,2021-04-08,Website,278.41,15.27
CUST01981,2021-08-31,Mobile App,8060.31,5.69
CUST07061,2021-11-30,Branch Visit,5856.36,29.21
CUST01420,2021-08-31,ATM,8933.82,6.13
CUST04387,2021-04-14,Mobile App,4608.52,43.14
CUST03934,2021-06-19,Branch Visit,4243.88,29.98
CUST02179,2021-06-06,Website,4645.1,35.24
CUST00721,2021-09-24,Mobile App,3366.72,56.33
CUST02568,2021-09-15,Mobile App,4224.53,26.96
CUST01986,2021-03-27,Mobile App,8050.33,43.97
CUST05668,2021-05-12,Branch Visit,9942.8,49.14
CUST09223,2021-07-14,ATM,6271.41,49.06
CUST03055,2021-01-16,Mobile App,9096.99,36.55
CUST00532,2021-10-02,Mobile App,9157.85,15.34
CUST04812,2021-05-08,Mobile App,5095.93,15.72
CUST04564,2021-11-30,Website,3381.67,21.32
CUST05261,2021-08-15,Website,8522.9,20.5
CUST06101,2021-01-10,ATM,2395.93,27.97
CUST04363,2021-10-15,Branch Visit,8296.97,50.05
CUST07826,2021-01-29,Website,3924.43,4.75
CUST06079,2021-11-18,Website,1122.02,58.02
CUST03049,2021-02-02,Mobile App,6183.01,42.08
CUST03842,2021-07-18,Branch Visit,4383.53,23.72
CUST04022,2021-03-28,Mobile App,5827.56,30.72
CUST02016,2021-03-04,Mobile App,4171.65,54.04
CUST07545,2021-03-30,Website,6904.06,1.37
CUST02733,2021-04-26,Branch Visit,7181.52,52.13
CUST02254,2021-04-10,Website,291.28,26.44
CUST09842,2021-09-03,Mobile App,2212.78,3.72
CUST08994,2021-01-23,Mobile App,4788.68,8.4
CUST01849,2021-11-04,Website,5911.32,12.74
CUST05008,2021-10-16,Branch Visit,1876.65,34.07
CUST09048,2021-06-29,Branch Visit,9636.34,44.07
