CustomerID,BillDate,Amount,PaymentStatus,PaymentMethod,PaymentDate
CUST09499,2021-09-17,964.66,Paid,Net Banking,2021-09-21
CUST05430,2021-09-08,4126.28,Paid,UPI,2021-09-12
CUST04493,2021-01-31,6926.22,Paid,Card,2021-02-04
CUST03594,2021-05-10,8071.43,Late,Card,2021-05-23
CUST02303,2021-09-17,9783.43,Paid,Card,2021-09-18
CUST01631,2021-03-14,14636.06,Late,Net Banking,2021-03-27
CUST05196,2021-08-28,15756.42,Paid,Card,2021-09-02
CUST05659,2021-05-20,7251.08,Paid,UPI,2021-05-20
CUST04044,2021-03-14,3396.7,Missed,UPI,
CUST05079,2021-04-02,3336.93,Paid,Card,2021-04-07
CUST01620,2021-02-11,7860.1,Paid,Card,2021-02-15
CUST02913,2021-05-07,19246.39,Paid,Net Banking,2021-05-09
CUST09236,2021-03-15,19406.0,Paid,Card,2021-03-20
CUST06104,2021-08-03,15961.23,Paid,Card,2021-08-06
CUST04904,2021-12-20,12766.23,Paid,Card,2021-12-23
CUST05787,2021-03-30,10448.06,Paid,Card,2021-03-30
CUST04174,2021-05-21,4092.65,Late,Wallet,2021-05-28
CUST08220,2021-02-05,9914.21,Paid,Wallet,2021-02-07
CUST06652,2021-09-08,13705.46,Paid,Wallet,2021-09-13
CUST04380,2021-02-19,2259.42,Paid,Net Banking,2021-02-22
CUST01596,2021-05-02,8271.13,Paid,Wallet,2021-05-07
CUST07273,2021-05-14,4352.13,Paid,UPI,2021-05-14
CUST08993,2021-11-29,19465.65,Late,Wallet,2021-12-06
CUST08281,2021-01-18,17224.19,Paid,Wallet,2021-01-19
CUST02995,2021-08-18,9033.9,Late,Net Banking,2021-08-30
CUST00287,2021-02-17,9414.63,Paid,Net Banking,2021-02-18
CUST06141,2021-08-28,10095.85,Missed,Net Banking,
CUST09880,2021-03-20,7294.71,Paid,Net Banking,2021-03-25
CUST01985,2021-04-05,17778.55,Paid,Net Banking,2021-04-09
CUST05336,2021-12-27,2254.88,Late,Card,2022-01-10
CUST05863,2021-03-19,4632.47,Late,Wallet,2021-03-27
CUST09208,2021-04-12,8867.78,Paid,UPI,2021-04-14
CUST01586,2021-12-05,9016.96,Late,UPI,2021-12-12
CUST02941,2021-01-03,735.1,Paid,Net Banking,2021-01-03
CUST00027,2021-06-01,17662.13,Paid,Card,2021-06-01
CUST04994,2021-09-24,5773.5,Paid,Net Banking,2021-09-29
CUST01314,2021-11-18,5432.86,Paid,Wallet,2021-11-22
CUST01743,2021-08-28,8469.07,Late,Wallet,2021-09-05
CUST09801,2021-04-14,11450.0,Paid,Net Banking,2021-04-18
CUST04392,2021-12-25,17248.21,Late,Net Banking,2022-01-03
CUST06877,2021-12-02,4266.2,Paid,Net Banking,2021-12-07
CUST07889,2021-04-30,13875.56,Paid,Card,2021-05-01
CUST06232,2021-02-22,13993.7,Late,Net Banking,2021-03-13
CUST07654,2021-04-28,6711.16,Paid,UPI,2021-04-29
CUST06010,2021-12-25,5039.68,Missed,Card,
CUST03159,2021-03-25,6999.29,Paid,Card,2021-03-30
CUST08783,2021-06-23,13321.87,Late,Card,2021-07-09
CUST09752,2021-08-21,13270.28,Paid,Wallet,2021-08-26
CUST04193,2021-09-19,14539.0,Late,Card,2021-10-04
CUST03406,2021-12-21,13017.6,Paid,UPI,2021-12-24
CUST03243,2021-03-31,2958.2,Missed,Net Banking,
CUST07201,2021-12-16,14667.87,Paid,Card,2021-12-19
CUST04596,2021-08-07,6511.11,Paid,Net Banking,2021-08-09
CUST07528,2021-10-27,1618.33,Paid,Card,2021-10-30
CUST05934,2021-05-24,13370.19,Paid,Card,2021-05-26
CUST00081,2021-04-14,11972.32,Late,Net Banking,2021-04-24
CUST09504,2021-02-05,15742.23,Late,Card,2021-02-19
CUST04644,2021-11-22,19599.2,Late,UPI,2021-11-30
CUST04089,2021-06-30,5857.13,Paid,Net Banking,2021-07-03
CUST02594,2021-06-30,9366.38,Paid,UPI,2021-06-30
CUST06253,2021-01-21,5167.64,Paid,Wallet,2021-01-21
CUST06516,2021-06-23,9472.94,Paid,Wallet,2021-06-26
CUST09691,2021-09-24,19676.36,Paid,UPI,2021-09-28
CUST00261,2021-01-25,3005.41,Paid,UPI,2021-01-28
CUST09860,2021-09-23,2920.8,Paid,Net Banking,2021-09-25
CUST02489,2021-09-30,2171.53,Paid,UPI,2021-09-30
CUST02669,2021-12-25,6800.44,Late,Net Banking,2022-01-07
CUST00793,2021-06-05,5845.4,Paid,Net Banking,2021-06-08
CUST05472,2021-05-16,6983.54,Late,Net Banking,2021-05-25
CUST07342,2021-03-21,19794.05,Paid,Wallet,2021-03-21
CUST07193,2021-09-02,15130.35,Paid,UPI,2021-09-06
CUST02755,2021-09-08,12982.34,Paid,UPI,2021-09-09
CUST08694,2021-06-11,18639.81,Paid,UPI,2021-06-13
CUST01663,2021-12-11,18182.26,Paid,Net Banking,2021-12-11
CUST02509,2021-09-07,10358.16,Paid,Net Banking,2021-09-08
CUST09582,2021-04-03,16384.82,Missed,Card,
CUST03852,2021-12-05,9151.77,Paid,Card,2021-12-06
CUST01492,2021-11-03,8282.43,Paid,Net Banking,2021-11-07
CUST07070,2021-11-28,3148.97,Late,UPI,2021-12-10
CUST00700,2021-09-11,15727.76,Paid,UPI,2021-09-15
CUST08166,2021-01-31,11060.28,Paid,Net Banking,2021-02-03
CUST00079,2021-08-13,19943.4,Late,Wallet,2021-08-23
CUST05655,2021-02-05,3794.09,Paid,Net Banking,2021-02-08
CUST00522,2021-06-15,14049.54,Late,UPI,2021-07-05
CUST04788,2021-03-07,18069.92,Late,Card,2021-03-25
CUST02758,2021-10-12,10532.43,Paid,Net Banking,2021-10-13
CUST02757,2021-12-15,15688.49,Missed,Wallet,
CUST04803,2021-12-05,15834.89,Paid,Card,2021-12-09
CUST08070,2021-12-23,14176.56,Paid,Wallet,2021-12-24
CUST03952,2021-04-17,12385.22,Paid,UPI,2021-04-22
CUST02687,2021-02-13,16658.71,Paid,UPI,2021-02-16
CUST08915,2021-09-02,17822.98,Paid,UPI,2021-09-05
CUST02434,2021-10-04,5456.13,Late,Card,2021-10-14
CUST09421,2021-05-18,8912.06,Paid,Net Banking,2021-05-21
CUST08198,2021-04-22,13137.07,Paid,Wallet,2021-04-27
CUST00026,2021-12-14,19535.46,Paid,Net Banking,2021-12-16
CUST05034,2021-10-06,8168.97,Late,Net Banking,2021-10-20
CUST05853,2021-05-14,2571.55,Paid,UPI,2021-05-14
CUST04263,2021-12-26,19586.34,Paid,Net Banking,2021-12-28
CUST05635,2021-01-05,2164.64,Paid,Wallet,2021-01-08
CUST02218,2021-08-24,16079.73,Paid,Wallet,2021-08-27
CUST09630,2021-10-23,2838.34,Paid,Card,2021-10-24
CUST06931,2021-01-17,9496.04,Late,Net Banking,2021-01-29
CUST05575,2021-04-16,4107.81,Late,UPI,2021-05-02
CUST09232,2021-10-16,14494.14,Paid,Wallet,2021-10-21
CUST07420,2021-05-01,5153.4,Late,UPI,2021-05-13
CUST08004,2021-12-28,5140.29,Paid,Net Banking,2022-01-02
CUST05615,2021-11-06,4984.03,Late,Net Banking,2021-11-12
CUST03536,2021-11-12,2678.21,Paid,Wallet,2021-11-12
CUST08907,2021-06-04,10936.88,Paid,Net Banking,2021-06-06
CUST09198,2021-01-21,7338.74,Paid,UPI,2021-01-25
CUST08122,2021-04-18,12553.46,Paid,Card,2021-04-20
CUST03876,2021-03-10,11203.09,Paid,Card,2021-03-12
CUST07494,2021-11-10,8785.4,Paid,Net Banking,2021-11-15
CUST02488,2021-06-22,3332.11,Paid,Wallet,2021-06-25
CUST08042,2021-06-06,15406.51,Paid,UPI,2021-06-07
CUST05494,2021-01-23,10325.66,Paid,Wallet,2021-01-23
CUST05229,2021-04-28,804.6,Paid,Wallet,2021-05-01
CUST08315,2021-03-10,12377.66,Paid,Card,2021-03-14
CUST01631,2021-01-10,13112.49,Paid,UPI,2021-01-10
CUST07786,2021-09-15,2454.69,Paid,Wallet,2021-09-20
CUST00042,2021-06-24,13255.69,Paid,Card,2021-06-25
CUST03492,2021-09-26,4108.01,Paid,Net Banking,2021-09-29
CUST00498,2021-06-19,9316.44,Missed,Net Banking,
CUST08110,2021-04-24,19358.36,Paid,Card,2021-04-24
CUST02055,2021-04-26,16583.99,Late,Net Banking,2021-05-02
CUST05887,2021-02-17,16231.66,Late,UPI,2021-03-01
CUST04923,2021-04-16,2032.98,Paid,Net Banking,2021-04-19
CUST08671,2021-08-15,12337.22,Paid,Net Banking,2021-08-19
CUST06797,2021-01-23,16399.66,Late,Card,2021-02-10
CUST05178,2021-09-07,6807.43,Paid,Net Banking,2021-09-10
CUST03108,2021-08-27,2103.72,Paid,Card,2021-08-27
CUST00874,2021-02-16,15290.05,Paid,UPI,2021-02-20
CUST05865,2021-12-19,10937.67,Paid,Wallet,2021-12-23
CUST04148,2021-01-26,19195.71,Paid,Card,2021-01-30
CUST01209,2021-09-14,2281.35,Paid,Net Banking,2021-09-17
CUST01894,2021-09-06,13534.89,Paid,Net Banking,2021-09-08
CUST04832,2021-09-17,14891.73,Paid,UPI,2021-09-19
CUST01170,2021-06-09,3763.03,Paid,Wallet,2021-06-11
CUST03495,2021-06-22,16296.19,Paid,Card,2021-06-22
CUST07845,2021-09-19,1506.73,Late,UPI,2021-09-27
CUST03189,2021-11-06,17322.87,Late,Net Banking,2021-11-16
CUST04731,2021-10-24,6808.65,Paid,UPI,2021-10-25
CUST02168,2021-07-07,17823.48,Late,UPI,2021-07-27
CUST07290,2021-01-07,15348.61,Late,Card,2021-01-13
CUST06703,2021-06-25,2568.69,Paid,UPI,2021-06-26
CUST07419,2021-04-16,8700.9,Paid,Net Banking,2021-04-20
CUST06553,2021-11-30,8206.43,Paid,UPI,2021-12-03
CUST04154,2021-01-08,6656.11,Late,Net Banking,2021-01-28
CUST06965,2021-01-21,12469.51,Missed,UPI,
CUST02475,2021-09-07,17762.59,Late,UPI,2021-09-27
CUST03703,2021-04-14,11295.73,Paid,Net Banking,2021-04-18
CUST04885,2021-03-30,17281.55,Paid,Card,2021-03-31
CUST04339,2021-11-24,13604.32,Paid,UPI,2021-11-28
CUST02964,2021-10-23,12187.99,Late,Net Banking,2021-11-10
CUST05023,2021-04-07,13754.15,Paid,Card,2021-04-12
CUST02143,2021-07-20,9121.59,Paid,Wallet,2021-07-25
CUST05653,2021-05-07,2277.45,Paid,UPI,2021-05-07
CUST07750,2021-12-03,7249.87,Paid,Wallet,2021-12-08
CUST03523,2021-01-26,15554.47,Paid,UPI,2021-01-29
CUST01102,2021-02-20,11764.01,Missed,Wallet,
CUST07407,2021-06-02,3399.56,Paid,Wallet,2021-06-07
CUST01578,2021-08-05,10014.93,Missed,Net Banking,
CUST01531,2021-07-01,13975.78,Missed,Wallet,
CUST04912,2021-02-10,4002.21,Missed,Wallet,
CUST09619,2021-11-10,11542.47,Paid,Wallet,2021-11-13
CUST08563,2021-10-05,10810.5,Paid,UPI,2021-10-07
CUST04638,2021-04-10,17667.38,Paid,Card,2021-04-11
CUST06172,2021-07-10,2556.14,Paid,Card,2021-07-12
CUST09440,2021-02-13,19107.75,Paid,UPI,2021-02-14
CUST07563,2021-11-28,747.49,Paid,Net Banking,2021-12-01
CUST01252,2021-12-20,17431.06,Paid,Card,2021-12-24
CUST03253,2021-11-28,5525.88,Late,Card,2021-12-07
CUST03195,2021-11-01,7973.1,Missed,Net Banking,
CUST07047,2021-10-27,18842.23,Paid,Net Banking,2021-11-01
CUST04611,2021-05-26,759.09,Paid,Wallet,2021-05-26
CUST04763,2021-05-03,10122.05,Paid,Card,2021-05-03
CUST09743,2021-08-21,16766.01,Paid,Card,2021-08-21
CUST05880,2021-10-11,556.83,Paid,Wallet,2021-10-12
CUST05656,2021-10-21,9346.26,Paid,UPI,2021-10-22
CUST08571,2021-05-27,12404.58,Paid,Net Banking,2021-05-31
CUST08939,2021-11-03,7979.49,Paid,Wallet,2021-11-05
CUST01418,2021-08-09,7550.78,Late,Wallet,2021-08-20
CUST05555,2021-09-04,7309.92,Paid,Net Banking,2021-09-09
CUST08557,2021-01-03,18343.26,Paid,UPI,2021-01-07
CUST09253,2021-12-12,8868.12,Paid,Net Banking,2021-12-15
CUST07960,2021-09-21,12998.42,Late,Net Banking,2021-09-30
CUST02413,2021-06-16,13366.75,Paid,Card,2021-06-20
CUST01469,2021-09-18,12635.98,Paid,Card,2021-09-18
CUST03119,2021-01-11,1283.96,Paid,Net Banking,2021-01-12
CUST02371,2021-11-28,12861.91,Paid,Wallet,2021-11-30
CUST08459,2021-08-02,6126.83,Paid,UPI,2021-08-03
CUST02682,2021-09-29,16917.17,Paid,Net Banking,2021-10-01
CUST06068,2021-12-22,19489.03,Missed,Card,
CUST00042,2021-10-12,15058.12,Late,Net Banking,2021-10-25
CUST00522,2021-11-29,17496.06,Late,Wallet,2021-12-18
CUST05473,2021-01-28,1073.83,Paid,Card,2021-01-30
CUST03273,2021-10-25,11309.98,Paid,UPI,2021-10-29
CUST03413,2021-08-24,12006.75,Paid,Card,2021-08-24
CUST03233,2021-10-28,853.0,Paid,Net Banking,2021-11-02
CUST09101,2021-05-18,17935.98,Missed,UPI,
CUST00455,2021-04-10,19284.53,Missed,UPI,
CUST00567,2021-04-23,14824.21,Paid,Card,2021-04-25
CUST06253,2021-04-17,3751.87,Paid,Net Banking,2021-04-22
CUST00707,2021-01-14,13842.65,Paid,Wallet,2021-01-16
CUST05995,2021-01-14,14441.18,Paid,Card,2021-01-16
CUST02494,2021-03-26,5437.29,Paid,Card,2021-03-29
CUST04268,2021-03-25,8574.09,Paid,Card,2021-03-28
CUST08276,2021-08-02,14445.09,Paid,Net Banking,2021-08-04
CUST04700,2021-11-04,10144.5,Late,Net Banking,2021-11-12
CUST05135,2021-11-17,18363.95,Paid,Wallet,2021-11-22
CUST03468,2021-10-18,15499.25,Paid,Wallet,2021-10-23
CUST07668,2021-05-11,17719.62,Paid,Wallet,2021-05-13
CUST05205,2021-11-01,8396.2,Paid,UPI,2021-11-03
CUST09315,2021-03-12,4230.92,Paid,UPI,2021-03-16
CUST06913,2021-08-09,5374.32,Paid,UPI,2021-08-09
CUST07804,2021-01-20,3235.07,Missed,Wallet,
CUST00212,2021-05-23,11873.49,Missed,Wallet,
CUST08304,2021-08-21,14785.44,Paid,Wallet,2021-08-25
CUST09411,2021-05-17,19919.72,Paid,Card,2021-05-22
CUST01213,2021-08-25,5545.61,Late,Net Banking,2021-09-05
CUST06183,2021-03-15,14261.06,Paid,Wallet,2021-03-17
CUST05806,2021-07-05,6633.07,Paid,UPI,2021-07-09
CUST02801,2021-08-27,17765.05,Paid,UPI,2021-08-29
CUST07814,2021-09-28,17757.17,Paid,Wallet,2021-09-28
CUST08500,2021-06-28,2168.33,Paid,Net Banking,2021-07-01
CUST09419,2021-03-24,8004.0,Missed,UPI,
CUST07806,2021-06-01,13645.48,Paid,UPI,2021-06-04
CUST07335,2021-02-16,14856.82,Late,UPI,2021-02-28
CUST00210,2021-05-14,6400.54,Paid,Card,2021-05-19
CUST06515,2021-08-27,4505.41,Missed,Net Banking,
CUST07949,2021-06-27,6274.47,Missed,Card,
CUST02205,2021-12-22,2588.88,Late,Wallet,2022-01-05
CUST06090,2021-10-27,3999.89,Missed,UPI,
CUST04120,2021-02-06,10042.56,Paid,Wallet,2021-02-11
CUST03550,2021-04-11,15368.88,Missed,Wallet,
CUST06670,2021-08-11,5891.75,Paid,Wallet,2021-08-15
CUST04720,2021-05-01,15198.96,Paid,Card,2021-05-04
CUST01696,2021-07-15,15325.2,Paid,Card,2021-07-17
CUST07253,2021-06-01,9322.91,Paid,Net Banking,2021-06-04
CUST00853,2021-11-20,8443.09,Paid,Net Banking,2021-11-22
CUST07493,2021-08-19,13408.16,Paid,UPI,2021-08-21
CUST01684,2021-03-30,13731.14,Paid,Card,2021-03-31
CUST04927,2021-09-09,17966.28,Paid,Card,2021-09-12
CUST09067,2021-03-29,13164.35,Paid,UPI,2021-03-29
CUST00078,2021-09-08,17358.38,Paid,UPI,2021-09-11
CUST04694,2021-06-22,16248.4,Paid,Net Banking,2021-06-25
CUST02662,2021-11-03,4729.36,Late,Wallet,2021-11-23
CUST09823,2021-05-08,1001.91,Paid,Wallet,2021-05-10
CUST08153,2021-02-21,13664.14,Late,UPI,2021-03-09
CUST00882,2021-01-21,8027.9,Late,UPI,2021-02-04
CUST04027,2021-03-29,14200.86,Missed,UPI,
CUST08856,2021-10-06,8586.62,Paid,Wallet,2021-10-06
CUST07814,2021-11-11,4200.49,Late,UPI,2021-12-01
CUST08796,2021-08-18,2546.54,Paid,Wallet,2021-08-23
CUST07852,2021-01-10,15313.69,Paid,Net Banking,2021-01-10
CUST03493,2021-09-11,15772.38,Missed,UPI,
CUST07263,2021-08-12,615.49,Late,UPI,2021-08-19
CUST02864,2021-10-10,5309.36,Missed,Card,
CUST06093,2021-07-09,14072.71,Paid,Net Banking,2021-07-11
CUST04324,2021-12-28,10661.54,Paid,Net Banking,2022-01-02
CUST07737,2021-08-08,16283.62,Paid,UPI,2021-08-12
CUST07866,2021-05-13,7498.56,Paid,Net Banking,2021-05-18
CUST09061,2021-05-17,11181.12,Paid,Wallet,2021-05-19
CUST04149,2021-02-19,5782.33,Paid,Wallet,2021-02-19
CUST02966,2021-03-10,10506.48,Missed,Wallet,
CUST04401,2021-09-03,14467.47,Late,Wallet,2021-09-20
CUST01392,2021-02-12,9247.72,Late,UPI,2021-02-24
CUST01935,2021-02-15,18507.57,Paid,Card,2021-02-20
CUST08275,2021-11-05,17531.04,Paid,Card,2021-11-07
CUST02887,2021-02-13,15805.2,Paid,UPI,2021-02-13
CUST01781,2021-10-02,6293.62,Late,Card,2021-10-21
CUST06619,2021-06-12,15860.76,Paid,Wallet,2021-06-17
CUST09476,2021-10-28,6798.63,Late,Net Banking,2021-11-16
CUST03410,2021-07-05,5023.48,Paid,Wallet,2021-07-06
CUST00090,2021-07-27,789.24,Paid,Net Banking,2021-07-29
CUST02526,2021-07-22,13244.15,Paid,UPI,2021-07-24
CUST06668,2021-05-04,17755.52,Paid,Card,2021-05-09
CUST08827,2021-03-21,16762.66,Late,Net Banking,2021-04-01
CUST01933,2021-03-04,2900.85,Paid,Card,2021-03-08
CUST09733,2021-06-16,7148.08,Paid,Net Banking,2021-06-19
CUST03312,2021-08-29,18023.47,Missed,Wallet,
CUST00148,2021-10-13,3694.68,Paid,Net Banking,2021-10-17
CUST07613,2021-12-02,18328.4,Paid,Wallet,2021-12-03
CUST05490,2021-06-16,13514.95,Paid,Wallet,2021-06-21
CUST09464,2021-08-10,7568.0,Paid,Wallet,2021-08-15
CUST00489,2021-06-26,2510.19,Paid,UPI,2021-06-26
CUST01614,2021-04-14,12405.76,Late,Card,2021-05-03
CUST01448,2021-09-14,8634.38,Paid,Card,2021-09-14
CUST02508,2021-11-17,504.21,Paid,UPI,2021-11-20
CUST04208,2021-06-22,18509.72,Paid,Card,2021-06-25
CUST07337,2021-11-02,18973.02,Missed,UPI,
CUST06139,2021-12-10,12085.91,Paid,Wallet,2021-12-10
CUST02904,2021-05-18,7798.37,Paid,Net Banking,2021-05-18
CUST03108,2021-11-10,979.09,Paid,Net Banking,2021-11-12
CUST08163,2021-02-27,15552.96,Paid,UPI,2021-02-27
CUST06793,2021-11-01,2132.51,Missed,Wallet,
CUST02592,2021-04-20,12027.12,Paid,Wallet,2021-04-23
CUST01596,2021-11-14,15778.28,Paid,Card,2021-11-16
CUST05476,2021-11-10,14092.07,Paid,Card,2021-11-12
CUST07894,2021-05-10,3463.09,Paid,Net Banking,2021-05-14
CUST02024,2021-09-15,15796.99,Paid,Wallet,2021-09-16
CUST01620,2021-06-28,14638.15,Paid,Net Banking,2021-06-28
CUST02796,2021-05-18,1544.33,Missed,Wallet,
CUST07796,2021-02-19,4375.09,Paid,UPI,2021-02-22
CUST08945,2021-08-21,3296.63,Paid,UPI,2021-08-23
CUST01780,2021-10-18,6696.39,Paid,Wallet,2021-10-23
CUST01854,2021-01-15,10011.33,Paid,Wallet,2021-01-15
CUST01243,2021-02-04,1084.68,Late,Wallet,2021-02-16
CUST07708,2021-01-12,760.89,Missed,Card,
CUST08501,2021-10-20,9918.59,Paid,UPI,2021-10-20
CUST04658,2021-08-16,6148.43,Missed,UPI,
CUST04159,2021-10-17,11732.62,Paid,Wallet,2021-10-22
CUST07556,2021-03-15,8312.66,Paid,Net Banking,2021-03-19
CUST04237,2021-04-09,14549.37,Paid,Wallet,2021-04-13
CUST02812,2021-10-19,12411.02,Paid,Net Banking,2021-10-20
CUST06357,2021-02-28,4660.09,Paid,Net Banking,2021-03-01
CUST07595,2021-10-29,9159.82,Missed,Card,
CUST09325,2021-12-24,2861.17,Late,Wallet,2022-01-13
CUST09678,2021-07-12,968.98,Paid,Net Banking,2021-07-14
CUST00880,2021-07-11,10794.82,Paid,Net Banking,2021-07-14
CUST02877,2021-02-18,11702.71,Paid,Wallet,2021-02-21
CUST00583,2021-07-21,12065.51,Late,UPI,2021-08-06
CUST02027,2021-09-16,5809.13,Paid,UPI,2021-09-16
CUST03191,2021-01-10,14388.97,Paid,Card,2021-01-10
CUST05109,2021-02-09,16036.34,Paid,Wallet,2021-02-14
CUST02435,2021-06-28,7566.89,Late,UPI,2021-07-11
CUST06534,2021-07-25,5339.25,Paid,Card,2021-07-30
CUST07258,2021-02-12,18781.18,Paid,UPI,2021-02-12
CUST02342,2021-03-11,4445.21,Paid,Card,2021-03-16
CUST03260,2021-11-03,3994.11,Missed,Wallet,
CUST01318,2021-12-28,19880.98,Paid,Card,2021-12-30
CUST08670,2021-05-15,18692.06,Late,Wallet,2021-05-26
CUST02034,2021-03-03,7185.7,Paid,Card,2021-03-05
CUST05484,2021-08-02,7645.25,Paid,Card,2021-08-07
CUST06303,2021-06-27,2291.18,Late,Net Banking,2021-07-05
CUST07519,2021-06-25,13164.8,Paid,UPI,2021-06-29
CUST00491,2021-03-31,11124.05,Paid,Net Banking,2021-04-04
CUST01001,2021-04-07,18770.84,Paid,UPI,2021-04-11
CUST08455,2021-11-22,18126.75,Late,UPI,2021-12-06
CUST09795,2021-08-26,5302.4,Paid,Wallet,2021-08-27
CUST02270,2021-11-03,9387.56,Paid,Wallet,2021-11-03
CUST00263,2021-04-19,11597.01,Late,Net Banking,2021-05-09
CUST01534,2021-04-25,17551.16,Late,Card,2021-05-12
CUST01632,2021-07-20,10566.7,Paid,Net Banking,2021-07-23
CUST09367,2021-03-13,19735.69,Missed,UPI,
CUST04098,2021-06-02,6360.87,Paid,Wallet,2021-06-04
CUST08263,2021-05-17,11647.79,Paid,UPI,2021-05-22
CUST02908,2021-09-02,17707.92,Paid,Card,2021-09-04
CUST03860,2021-11-21,19254.14,Paid,Card,2021-11-24
CUST08981,2021-09-16,16219.34,Paid,Net Banking,2021-09-16
CUST01654,2021-10-06,10339.04,Paid,Wallet,2021-10-09
CUST04444,2021-12-03,17714.56,Missed,Net Banking,
CUST09085,2021-08-04,3348.81,Paid,Card,2021-08-08
CUST07881,2021-04-20,17294.49,Paid,Wallet,2021-04-24
CUST09145,2021-07-09,9161.71,Late,Wallet,2021-07-28
CUST03538,2021-09-20,14294.46,Paid,Net Banking,2021-09-21
CUST01655,2021-03-18,14526.77,Paid,Card,2021-03-23
CUST05448,2021-01-04,15780.81,Missed,Card,
CUST05335,2021-01-20,9150.02,Paid,Wallet,2021-01-23
CUST00367,2021-07-29,5191.94,Paid,UPI,2021-07-30
CUST01036,2021-05-19,5508.35,Paid,Wallet,2021-05-23
CUST00562,2021-03-07,17556.77,Paid,UPI,2021-03-08
CUST06559,2021-01-22,5260.92,Paid,Wallet,2021-01-24
CUST02586,2021-10-06,10177.58,Paid,Net Banking,2021-10-11
