CustomerID,TicketDate,IssueType,ResolutionTime,SatisfactionScore
CUST04226,2021-03-17,Other,14,1
CUST05021,2021-06-07,Other,14,3
CUST09890,2021-06-21,Payment Issue,6,3
CUST07599,2021-05-14,Login Issue,3,3
CUST08856,2021-01-23,Payment Issue,1,5
CUST09988,2021-02-27,Service Down,10,4
CUST02548,2021-04-01,Service Down,6,1
CUST02282,2021-08-27,Login Issue,5,1
CUST07799,2021-09-19,Account Blocked,6,5
CUST07738,2021-03-29,Login Issue,4,3
CUST01153,2021-05-22,Other,9,5
CUST09888,2021-11-17,Other,2,3
CUST07403,2021-01-17,Other,6,5
CUST02852,2021-01-06,Payment Issue,2,5
CUST07001,2021-05-03,Payment Issue,13,1
CUST07115,2021-05-01,Payment Issue,6,5
CUST04866,2021-12-13,Account Blocked,7,1
CUST01582,2021-02-21,Other,13,3
CUST02143,2021-02-10,Account Blocked,10,3
CUST01353,2021-10-27,Account Blocked,14,1
CUST02984,2021-05-04,Other,9,3
CUST07227,2021-07-18,Service Down,12,4
CUST02266,2021-04-18,Account Blocked,6,5
CUST06563,2021-07-04,Other,2,1
CUST04218,2021-01-01,Payment Issue,13,5
CUST04838,2021-12-08,Login Issue,4,3
CUST03551,2021-09-02,Service Down,11,1
CUST06931,2021-02-28,Payment Issue,9,3
CUST03306,2021-12-21,Login Issue,13,5
CUST04703,2021-09-19,Service Down,11,2
CUST01867,2021-12-25,Account Blocked,4,2
CUST01550,2021-05-02,Other,10,4
CUST06607,2021-03-28,Other,4,4
CUST02098,2021-08-22,Payment Issue,1,5
CUST09614,2021-05-04,Login Issue,7,3
CUST08168,2021-02-26,Login Issue,11,3
CUST03943,2021-09-22,Login Issue,12,5
CUST01909,2021-03-30,Service Down,4,4
CUST09139,2021-06-29,Other,6,2
CUST08540,2021-06-14,Service Down,9,1
CUST05124,2021-11-10,Payment Issue,3,1
CUST04817,2021-03-18,Account Blocked,11,4
CUST02347,2021-11-15,Login Issue,3,5
CUST01740,2021-06-14,Other,9,4
CUST02039,2021-01-09,Login Issue,12,4
CUST07262,2021-02-05,Payment Issue,9,4
CUST09592,2021-10-30,Login Issue,14,4
CUST03183,2021-11-24,Other,14,4
CUST09114,2021-05-28,Login Issue,8,2
CUST04830,2021-04-13,Account Blocked,14,1
CUST01359,2021-11-14,Service Down,9,2
CUST01592,2021-03-19,Service Down,12,1
CUST05821,2021-08-14,Payment Issue,4,2
CUST07535,2021-01-22,Other,4,1
CUST07067,2021-02-13,Login Issue,9,2
CUST07675,2021-08-31,Payment Issue,6,2
CUST06295,2021-05-21,Payment Issue,2,3
CUST00718,2021-02-05,Other,5,2
CUST08825,2021-07-11,Login Issue,5,4
CUST08102,2021-01-04,Service Down,8,5
CUST06421,2021-06-28,Other,1,1
CUST06814,2021-10-22,Other,10,4
CUST07979,2021-08-20,Other,4,4
CUST06127,2021-08-23,Payment Issue,7,3
CUST04915,2021-02-05,Other,7,2
CUST08621,2021-09-18,Payment Issue,12,2
CUST05474,2021-05-29,Account Blocked,4,2
CUST08646,2021-09-07,Login Issue,6,3
CUST02162,2021-04-28,Service Down,3,1
CUST08080,2021-04-19,Login Issue,12,3
CUST07372,2021-03-20,Service Down,6,4
CUST06933,2021-01-27,Login Issue,1,1
CUST05309,2021-08-16,Account Blocked,1,3
CUST00257,2021-06-06,Account Blocked,8,2
CUST09292,2021-02-25,Account Blocked,2,4
CUST02805,2021-03-05,Payment Issue,14,1
CUST04028,2021-06-14,Other,6,4
CUST04740,2021-06-24,Login Issue,1,1
CUST06606,2021-04-10,Service Down,14,3
CUST05073,2021-01-08,Other,6,4
CUST05767,2021-11-08,Account Blocked,14,5
CUST00524,2021-01-11,Payment Issue,11,4
CUST09643,2021-03-19,Other,12,3
CUST07605,2021-01-23,Service Down,12,4
CUST00020,2021-11-29,Payment Issue,5,4
CUST04209,2021-04-02,Service Down,12,3
CUST08499,2021-08-01,Service Down,8,2
CUST05629,2021-05-20,Other,3,4
CUST02281,2021-11-18,Account Blocked,8,4
CUST00931,2021-04-10,Other,2,3
CUST08267,2021-04-22,Other,14,3
CUST00444,2021-06-16,Service Down,11,4
CUST09704,2021-04-17,Service Down,4,5
CUST09588,2021-12-24,Other,13,5
CUST02483,2021-09-03,Payment Issue,4,1
CUST03255,2021-12-01,Account Blocked,8,1
CUST07179,2021-01-03,Service Down,4,1
CUST04199,2021-01-13,Other,1,2
CUST07373,2021-06-12,Service Down,7,1
CUST03742,2021-01-14,Payment Issue,9,5
CUST04604,2021-08-08,Other,2,3
CUST07119,2021-09-10,Payment Issue,8,4
CUST01259,2021-09-04,Login Issue,7,4
CUST08875,2021-10-06,Service Down,11,2
CUST08026,2021-03-18,Payment Issue,1,4
CUST02656,2021-10-01,Service Down,12,5
CUST09890,2021-12-24,Login Issue,1,3
CUST04250,2021-12-09,Other,1,5
CUST05200,2021-04-09,Service Down,14,1
CUST00010,2021-12-01,Other,11,2
CUST04686,2021-10-01,Service Down,5,3
CUST08435,2021-10-01,Payment Issue,4,4
CUST07727,2021-01-09,Other,4,2
CUST07530,2021-06-10,Payment Issue,10,2
CUST05398,2021-08-25,Payment Issue,2,5
CUST03542,2021-02-09,Account Blocked,7,2
CUST04876,2021-04-29,Other,3,4
CUST08788,2021-01-19,Login Issue,8,2
CUST02677,2021-06-17,Service Down,2,5
CUST09659,2021-03-31,Payment Issue,1,4
CUST03965,2021-01-18,Account Blocked,6,1
CUST08404,2021-03-06,Login Issue,3,5
CUST09323,2021-01-04,Other,12,3
CUST07304,2021-10-08,Service Down,14,1
CUST08423,2021-11-27,Login Issue,8,4
CUST07827,2021-04-16,Payment Issue,14,2
CUST04903,2021-04-15,Other,3,1
CUST07715,2021-01-20,Other,13,1
CUST04839,2021-07-19,Account Blocked,14,1
CUST05206,2021-06-01,Payment Issue,1,1
CUST09249,2021-05-17,Login Issue,2,3
CUST05785,2021-08-02,Service Down,1,5
CUST03700,2021-08-16,Other,14,4
CUST07862,2021-12-05,Other,3,5
CUST06939,2021-08-06,Login Issue,5,1
CUST08494,2021-12-25,Other,12,3
CUST05657,2021-01-31,Payment Issue,4,5
CUST04892,2021-05-03,Login Issue,8,1
CUST04436,2021-03-10,Service Down,5,2
CUST04341,2021-12-15,Service Down,11,3
CUST01279,2021-03-11,Account Blocked,7,1
CUST03185,2021-06-03,Service Down,1,2
CUST03104,2021-06-04,Account Blocked,7,2
CUST05572,2021-07-30,Payment Issue,5,2
CUST09134,2021-11-13,Account Blocked,11,2
CUST03968,2021-12-13,Account Blocked,6,1
CUST04982,2021-06-11,Service Down,7,3
CUST00432,2021-12-28,Account Blocked,14,3
CUST09089,2021-10-01,Login Issue,7,5
CUST09113,2021-04-21,Service Down,1,5
CUST05913,2021-10-03,Login Issue,8,3
CUST05726,2021-06-01,Payment Issue,2,5
CUST04603,2021-02-23,Service Down,13,4
CUST01406,2021-04-04,Other,3,4
CUST07534,2021-05-27,Login Issue,12,2
CUST02920,2021-04-01,Login Issue,12,4
CUST09836,2021-08-10,Payment Issue,5,4
CUST03519,2021-04-26,Service Down,11,4
CUST00199,2021-07-07,Account Blocked,12,5
CUST03995,2021-03-01,Account Blocked,3,3
CUST05631,2021-06-08,Other,4,1
CUST09176,2021-10-25,Payment Issue,6,4
CUST01885,2021-08-25,Account Blocked,11,3
CUST08569,2021-11-16,Service Down,4,1
CUST04899,2021-12-13,Payment Issue,3,3
CUST09189,2021-08-30,Payment Issue,5,3
CUST09299,2021-03-17,Login Issue,2,4
CUST05127,2021-12-26,Login Issue,5,4
CUST05818,2021-01-10,Login Issue,13,3
CUST01705,2021-12-22,Other,11,4
CUST09154,2021-07-19,Login Issue,8,5
CUST09332,2021-10-13,Login Issue,2,5
CUST04932,2021-03-24,Other,3,5
CUST06959,2021-04-02,Login Issue,14,4
CUST06511,2021-02-10,Login Issue,2,5
CUST00224,2021-06-16,Other,12,5
CUST09621,2021-09-22,Login Issue,6,1
CUST04000,2021-07-03,Service Down,5,4
CUST04380,2021-07-25,Other,9,1
CUST06890,2021-02-02,Service Down,11,5
CUST03169,2021-12-03,Service Down,1,4
CUST09312,2021-07-21,Account Blocked,14,3
CUST09809,2021-02-15,Payment Issue,12,2
CUST07167,2021-10-14,Payment Issue,7,2
CUST03166,2021-05-21,Login Issue,3,1
CUST01349,2021-02-17,Service Down,11,4
CUST01366,2021-09-04,Service Down,12,3
CUST06011,2021-09-06,Login Issue,12,4
CUST08820,2021-12-05,Service Down,2,3
CUST06970,2021-12-16,Other,1,1
CUST06497,2021-09-28,Service Down,11,2
CUST01306,2021-10-04,Account Blocked,9,3
CUST05771,2021-01-20,Other,4,5
CUST01265,2021-10-05,Account Blocked,9,4
CUST07676,2021-01-05,Login Issue,4,5
CUST05326,2021-04-26,Payment Issue,6,4
CUST06666,2021-09-06,Service Down,5,3
CUST04782,2021-12-12,Other,8,4
CUST02148,2021-02-04,Service Down,4,4
CUST00501,2021-01-07,Account Blocked,12,1
CUST00453,2021-01-13,Other,1,2
CUST07248,2021-09-08,Service Down,4,2
CUST02007,2021-10-19,Login Issue,9,5
CUST09042,2021-06-29,Account Blocked,9,2
CUST04597,2021-04-10,Login Issue,7,4
CUST02677,2021-12-27,Payment Issue,14,5
CUST09521,2021-05-02,Payment Issue,7,3
CUST05269,2021-08-12,Payment Issue,10,3
CUST09661,2021-01-08,Service Down,9,4
CUST09048,2021-06-16,Account Blocked,6,1
CUST00147,2021-08-18,Account Blocked,9,5
CUST03696,2021-04-12,Login Issue,5,2
CUST08386,2021-05-22,Other,9,5
CUST08694,2021-08-31,Service Down,3,4
CUST03146,2021-10-02,Login Issue,4,2
CUST06222,2021-05-27,Payment Issue,14,2
CUST08028,2021-07-25,Payment Issue,3,5
CUST06370,2021-06-08,Payment Issue,5,5
CUST01947,2021-04-24,Account Blocked,14,4
CUST00150,2021-11-15,Service Down,10,1
CUST01117,2021-09-03,Other,13,4
CUST05322,2021-06-17,Account Blocked,8,2
CUST05279,2021-09-26,Payment Issue,4,5
CUST06309,2021-05-16,Payment Issue,9,3
CUST07942,2021-10-16,Other,3,3
CUST00489,2021-09-26,Account Blocked,13,4
CUST06972,2021-05-12,Login Issue,11,3
CUST05622,2021-03-21,Other,10,4
CUST03577,2021-03-21,Payment Issue,12,1
CUST06804,2021-11-30,Other,10,1
CUST03151,2021-04-30,Payment Issue,7,1
CUST05827,2021-01-15,Login Issue,6,2
CUST05078,2021-10-05,Account Blocked,14,1
CUST07115,2021-04-27,Login Issue,11,5
CUST02812,2021-12-12,Login Issue,9,2
CUST01913,2021-02-28,Service Down,7,5
CUST05462,2021-12-29,Other,13,2
CUST08717,2021-07-01,Login Issue,7,3
CUST04199,2021-03-15,Login Issue,9,2
CUST03797,2021-05-26,Other,11,5
CUST03055,2021-07-11,Login Issue,3,4
CUST08800,2021-06-20,Other,7,1
CUST03574,2021-12-18,Other,5,2
CUST02749,2021-06-02,Account Blocked,9,1
CUST03922,2021-03-25,Service Down,2,1
CUST01449,2021-10-24,Login Issue,12,2
CUST06970,2021-08-02,Login Issue,14,3
CUST07992,2021-11-12,Account Blocked,14,2
CUST03284,2021-09-04,Payment Issue,6,3
CUST09792,2021-04-17,Login Issue,14,2
CUST04466,2021-07-29,Service Down,2,3
CUST02114,2021-11-03,Account Blocked,6,1
CUST08429,2021-08-23,Service Down,12,2
CUST03625,2021-05-14,Login Issue,10,2
CUST06344,2021-09-18,Other,8,2
CUST06578,2021-01-21,Payment Issue,4,5
CUST01678,2021-04-03,Other,6,2
CUST02213,2021-06-26,Other,14,1
CUST06045,2021-09-25,Service Down,6,3
CUST03740,2021-12-12,Other,4,1
CUST00164,2021-12-05,Login Issue,7,1
CUST05833,2021-07-15,Other,9,2
CUST03377,2021-08-06,Payment Issue,7,5
CUST03100,2021-09-01,Other,2,4
CUST04674,2021-08-24,Account Blocked,9,5
CUST03101,2021-12-13,Account Blocked,10,4
CUST07477,2021-08-02,Service Down,1,3
CUST02818,2021-09-19,Account Blocked,6,3
CUST09521,2021-01-13,Account Blocked,2,1
CUST03967,2021-11-11,Payment Issue,10,2
CUST08495,2021-07-02,Account Blocked,6,2
CUST01678,2021-09-18,Service Down,3,3
CUST05281,2021-01-12,Login Issue,5,1
CUST04593,2021-08-16,Account Blocked,11,3
CUST02258,2021-12-05,Other,12,1
CUST03420,2021-12-23,Login Issue,5,2
CUST03696,2021-04-07,Other,4,3
CUST01902,2021-05-13,Payment Issue,2,3
CUST03868,2021-04-16,Service Down,2,3
CUST08792,2021-12-19,Payment Issue,8,3
CUST02279,2021-01-16,Account Blocked,4,1
CUST02057,2021-11-09,Account Blocked,3,5
CUST04684,2021-07-03,Payment Issue,9,5
CUST06892,2021-02-22,Account Blocked,13,4
CUST05792,2021-05-06,Other,5,5
CUST05790,2021-07-04,Other,8,1
CUST03031,2021-03-29,Service Down,12,5
CUST05214,2021-02-26,Payment Issue,4,5
CUST06079,2021-05-15,Payment Issue,12,1
CUST04837,2021-05-10,Service Down,2,4
CUST04261,2021-04-23,Service Down,5,3
CUST01339,2021-08-28,Payment Issue,9,1
CUST02814,2021-05-25,Login Issue,10,2
CUST05207,2021-09-09,Login Issue,8,5
CUST09860,2021-05-31,Other,14,5
CUST09949,2021-11-25,Login Issue,6,1
CUST03010,2021-04-08,Service Down,10,4
CUST09675,2021-12-17,Service Down,9,3
CUST01975,2021-03-24,Service Down,11,1
CUST06488,2021-01-05,Payment Issue,12,4
CUST05089,2021-07-20,Other,10,2
CUST08527,2021-12-10,Other,11,2
CUST03894,2021-08-03,Account Blocked,8,1
CUST01218,2021-04-19,Login Issue,2,2
CUST06128,2021-09-18,Login Issue,1,4
CUST05290,2021-04-27,Account Blocked,3,4
CUST05829,2021-12-29,Other,4,4
CUST07630,2021-12-08,Login Issue,13,1
CUST05793,2021-03-09,Payment Issue,13,4
CUST08567,2021-12-06,Service Down,7,2
CUST09521,2021-06-07,Login Issue,11,1
CUST08268,2021-09-12,Account Blocked,11,5
CUST01174,2021-05-20,Login Issue,12,3
CUST00990,2021-02-28,Service Down,9,3
CUST00745,2021-12-16,Service Down,9,1
CUST08270,2021-03-23,Login Issue,1,3
CUST09908,2021-11-20,Payment Issue,2,5
CUST09386,2021-08-12,Account Blocked,12,4
CUST04246,2021-04-09,Login Issue,5,4
CUST05296,2021-11-30,Account Blocked,2,1
CUST00122,2021-05-07,Account Blocked,7,3
CUST04679,2021-11-29,Payment Issue,4,4
CUST03613,2021-03-18,Other,14,2
CUST04356,2021-07-09,Account Blocked,11,1
CUST09617,2021-09-06,Payment Issue,13,4
CUST01565,2021-03-16,Login Issue,8,4
CUST05099,2021-06-29,Payment Issue,2,1
CUST03616,2021-09-10,Login Issue,12,4
CUST07213,2021-01-23,Other,1,2
CUST09844,2021-05-31,Other,4,4
CUST09775,2021-04-05,Payment Issue,6,5
CUST07075,2021-03-11,Payment Issue,7,4
CUST08176,2021-04-13,Other,13,1
CUST04123,2021-10-20,Payment Issue,11,2
CUST05127,2021-08-29,Login Issue,12,5
CUST03467,2021-06-08,Login Issue,13,3
CUST00231,2021-04-21,Other,12,2
CUST03640,2021-06-30,Payment Issue,12,2
CUST09777,2021-10-15,Login Issue,7,4
CUST09935,2021-04-01,Other,14,4
CUST09917,2021-08-06,Account Blocked,7,3
CUST03591,2021-11-16,Login Issue,13,5
CUST02068,2021-07-03,Payment Issue,7,3
CUST01592,2021-01-19,Account Blocked,6,4
CUST02477,2021-02-22,Login Issue,5,2
CUST02952,2021-07-17,Service Down,14,3
CUST02062,2021-05-18,Login Issue,7,2
CUST00502,2021-09-04,Service Down,5,1
CUST07305,2021-03-07,Other,2,5
CUST08293,2021-04-07,Account Blocked,14,1
CUST04314,2021-05-17,Service Down,3,4
CUST00668,2021-02-01,Service Down,13,5
CUST03562,2021-05-26,Login Issue,2,4
CUST00785,2021-03-31,Login Issue,6,5
CUST02880,2021-05-25,Login Issue,5,5
CUST07610,2021-08-11,Account Blocked,6,1
CUST04123,2021-01-21,Other,14,2
CUST05165,2021-05-14,Payment Issue,6,2
CUST03197,2021-09-02,Login Issue,1,4
CUST01315,2021-04-30,Other,11,2
CUST09993,2021-02-24,Account Blocked,6,4
CUST00167,2021-08-16,Login Issue,9,5
CUST07722,2021-11-08,Payment Issue,7,3
CUST01811,2021-11-08,Account Blocked,11,4
CUST09744,2021-10-24,Payment Issue,5,4
CUST09674,2021-04-24,Payment Issue,5,5
CUST01137,2021-05-13,Service Down,14,4
CUST09044,2021-01-06,Account Blocked,10,1
CUST03062,2021-10-08,Login Issue,5,5
CUST06101,2021-10-08,Login Issue,12,3
CUST04302,2021-01-29,Other,14,5
CUST00770,2021-03-31,Account Blocked,12,2
CUST09295,2021-02-21,Payment Issue,10,1
CUST07179,2021-05-25,Payment Issue,9,2
CUST02849,2021-12-07,Payment Issue,12,3
CUST03840,2021-02-07,Login Issue,13,3
CUST00637,2021-06-30,Service Down,10,1
CUST09901,2021-04-28,Payment Issue,11,3
CUST05190,2021-12-21,Account Blocked,3,2
CUST08962,2021-06-03,Other,9,4
CUST03130,2021-04-18,Service Down,10,1
CUST04557,2021-06-27,Account Blocked,8,4
CUST07331,2021-09-17,Login Issue,12,2
CUST09838,2021-11-02,Login Issue,11,5
CUST00529,2021-07-14,Account Blocked,11,5
CUST09727,2021-07-20,Other,10,2
CUST08182,2021-06-19,Service Down,5,3
CUST07539,2021-09-29,Payment Issue,5,5
CUST04147,2021-07-19,Service Down,3,4
CUST00201,2021-10-24,Login Issue,13,3
CUST04711,2021-09-26,Account Blocked,14,4
CUST02350,2021-06-12,Service Down,8,4
CUST06196,2021-01-28,Service Down,1,1
CUST03378,2021-08-27,Service Down,6,2
CUST00857,2021-02-16,Service Down,12,5
CUST02508,2021-03-03,Login Issue,3,2
CUST01965,2021-03-08,Login Issue,10,1
CUST00091,2021-06-13,Service Down,10,4
CUST03753,2021-10-12,Account Blocked,3,5
CUST08675,2021-02-24,Payment Issue,3,1
CUST04416,2021-01-04,Other,3,1
CUST00120,2021-07-12,Service Down,10,1
CUST01686,2021-07-11,Login Issue,5,2
CUST02528,2021-08-16,Service Down,7,5
CUST02563,2021-06-26,Other,5,4
CUST04463,2021-02-06,Service Down,6,3
CUST01115,2021-01-07,Login Issue,14,2
CUST02527,2021-04-04,Login Issue,3,4
CUST06324,2021-06-26,Payment Issue,2,4
CUST04795,2021-12-25,Service Down,1,4
CUST04911,2021-07-02,Other,13,2
CUST06513,2021-07-30,Service Down,2,1
CUST04922,2021-06-06,Account Blocked,3,3
CUST09778,2021-07-14,Login Issue,11,2
CUST07160,2021-11-05,Other,7,4
CUST04624,2021-08-18,Login Issue,8,1
CUST02511,2021-04-06,Payment Issue,3,3
CUST04825,2021-05-02,Account Blocked,1,5
CUST04623,2021-06-02,Other,12,3
CUST03352,2021-06-14,Service Down,9,1
CUST00353,2021-08-14,Account Blocked,10,5
CUST09346,2021-08-21,Payment Issue,10,1
CUST09628,2021-12-02,Payment Issue,13,3
CUST07778,2021-09-13,Account Blocked,7,3
CUST09008,2021-12-14,Account Blocked,11,2
CUST08015,2021-12-12,Other,13,2
CUST07822,2021-07-28,Service Down,5,3
CUST03392,2021-06-02,Service Down,2,2
CUST01946,2021-03-16,Account Blocked,14,4
CUST09711,2021-11-22,Login Issue,9,5
CUST09085,2021-12-03,Login Issue,13,5
CUST00474,2021-06-28,Account Blocked,12,1
CUST02374,2021-05-10,Login Issue,4,3
CUST00785,2021-09-09,Other,11,2
CUST01612,2021-10-27,Payment Issue,6,3
CUST00863,2021-12-03,Login Issue,13,1
CUST09086,2021-10-16,Account Blocked,11,1
CUST01218,2021-04-02,Service Down,5,3
CUST03902,2021-02-01,Payment Issue,5,5
CUST00076,2021-10-17,Service Down,7,5
CUST00562,2021-09-02,Login Issue,2,4
CUST04892,2021-06-29,Payment Issue,13,1
CUST00887,2021-12-08,Account Blocked,11,1
CUST02927,2021-11-19,Payment Issue,7,2
CUST08512,2021-03-12,Account Blocked,5,2
CUST00481,2021-11-24,Other,14,1
CUST06896,2021-11-25,Payment Issue,10,2
CUST07246,2021-09-17,Payment Issue,6,5
CUST03344,2021-07-30,Login Issue,13,5
CUST00802,2021-07-18,Other,10,5
CUST09282,2021-12-27,Payment Issue,4,5
CUST01437,2021-12-31,Other,8,2
CUST04676,2021-11-25,Payment Issue,12,3
CUST00195,2021-05-11,Other,4,4
CUST04077,2021-07-26,Account Blocked,8,2
CUST01395,2021-02-04,Payment Issue,3,5
CUST07590,2021-12-13,Account Blocked,11,4
CUST07184,2021-12-02,Account Blocked,9,1
CUST03225,2021-10-23,Payment Issue,1,4
CUST03538,2021-10-06,Payment Issue,12,4
CUST09903,2021-05-01,Account Blocked,7,2
CUST04267,2021-10-26,Service Down,2,2
CUST00148,2021-09-27,Account Blocked,10,3
CUST00457,2021-10-13,Service Down,6,3
CUST07511,2021-01-16,Account Blocked,9,5
CUST09770,2021-04-26,Account Blocked,6,3
CUST06381,2021-09-02,Login Issue,14,1
CUST00612,2021-04-18,Other,4,2
CUST04326,2021-05-04,Login Issue,13,2
CUST09435,2021-05-29,Account Blocked,8,1
CUST00289,2021-12-19,Other,9,5
CUST03348,2021-07-13,Service Down,2,4
CUST08223,2021-04-08,Other,10,1
CUST06815,2021-05-13,Other,13,3
CUST01379,2021-08-13,Other,12,3
CUST03939,2021-04-27,Other,7,1
CUST01570,2021-05-11,Other,7,5
CUST07293,2021-12-27,Account Blocked,5,4
CUST09625,2021-02-26,Other,3,1
CUST06804,2021-03-09,Account Blocked,6,5
CUST06694,2021-11-10,Account Blocked,5,2
CUST09967,2021-05-04,Other,14,3
CUST03747,2021-11-07,Other,1,5
CUST07406,2021-04-27,Other,3,2
CUST04408,2021-09-09,Other,8,1
CUST01171,2021-11-02,Account Blocked,7,4
CUST05210,2021-11-06,Login Issue,11,4
CUST00640,2021-01-30,Login Issue,4,2
CUST06509,2021-06-23,Payment Issue,7,3
CUST01120,2021-09-24,Other,10,1
CUST04849,2021-05-24,Service Down,5,4
CUST00797,2021-02-01,Payment Issue,8,2
CUST02701,2021-10-11,Account Blocked,12,1
CUST02016,2021-08-30,Account Blocked,5,4
CUST05654,2021-02-27,Login Issue,8,4
CUST00343,2021-10-23,Account Blocked,6,3
CUST08074,2021-08-09,Account Blocked,3,5
CUST08977,2021-01-15,Login Issue,9,2
CUST09697,2021-04-26,Payment Issue,5,5
CUST07261,2021-10-31,Other,13,1
CUST01735,2021-06-11,Payment Issue,10,4
CUST03974,2021-07-31,Account Blocked,11,5
CUST01203,2021-09-22,Account Blocked,13,2
CUST09667,2021-10-12,Other,5,2
CUST06733,2021-03-15,Payment Issue,10,5
CUST05796,2021-12-01,Payment Issue,6,2
CUST02332,2021-06-12,Other,5,4
CUST08151,2021-10-09,Login Issue,7,3
CUST06269,2021-01-11,Login Issue,3,5
CUST01221,2021-08-21,Login Issue,6,3
CUST02546,2021-08-17,Account Blocked,1,3
CUST00231,2021-03-12,Account Blocked,7,2
CUST05410,2021-03-04,Other,3,3
CUST05612,2021-01-26,Other,6,2
CUST07713,2021-05-30,Service Down,7,5
CUST09913,2021-03-11,Payment Issue,3,2
CUST01984,2021-01-27,Login Issue,4,5
CUST07446,2021-12-04,Account Blocked,6,3
CUST09895,2021-08-24,Other,1,1
CUST04202,2021-07-08,Other,1,4
CUST05545,2021-11-15,Service Down,4,1
